	备注	弹幕填充ing
1097	每月税前9500，年底十三薪，加班十九六。已离职，考了事业编	666
1098		
1099	超级忙，今年还降薪，已在备战事业单位考试	
1100	事情比较多，很烦很杂。	
1101	不加班	"
"
1102	加班很多	
1103	加班非常多，很累，想跑路	
1104	竞争压力很大，工作氛围一般，要搞办公室斗争，可以按时下班，周末在家加班较多。优点是算绩效爽快，给钱及时。总的来说多劳多得。	啥公司啊，球带
1105	刚回国一年，年终承诺的有打折	
1106	团队负责人，带5个人，属于住宅组转公建，一年住宅项目10多个无落地，公建项目20+，只落地一个职业技术学校，控制的好适度加班一般975	
1107		
1108	理由：抵回款房子没卖掉，年终奖就不发了。一百块都不给我	没有卖不出去的东西，只有想不想卖的价格
1109	工作日加班多，有双休，但是年终奖基本没有，偶尔有些小奖金几千左右	
1110	今年不咋忙 几乎全年双休吧，适合养老 准备回家卖红薯了	
1111	干了两年 想跑，换了三次组了，最后这个组 最近一直摸鱼，不咋加班，但是年后看看机会，想做点好的项目，涨涨工资，不跳槽涨不了啊	
1112	已通知，年后全员降薪10%	
1113	上半年部门领导疯狂内卷，天天加班10点往后。下半年公司架构调整，裁员降薪，估计马上轮到我。	想知道是什么公司   +1
1114	小设计公司 过得蛮安逸 年后打算跑路 已经拿到offer	这个年终羡慕了，估计是含年薪到手9W
1115	国企	应届生能拿这个不错了，好好干
1116	朝九晚五，都是垃圾项目，没回款，已经倒闭了。	
1117	早9晚10，月均300小时。	
1118	国企，一年总收入7w忙成狗，第一年加年终到手2w，第二年加年终到手4w，第三年加年终到手6w，在杭州倒贴打工	哈哈哈哈哈，我也是，年终越来越少，变相降薪
1119	小工作室，老板傻逼，跟老板大吵一架，本来打算拿了年终跑路，不知还有没有	半年8.5一年就有17了呢
1120	`	还缺人不
1121	早9晚5，强度看情况，平均下来月均加班10天，基本21点前可以结束，后半夜的情况一年也就两三天，不打卡，上班时间自由，请假不用假条，过年休息3周左右	工大院？
1122		
1123	不加班，朝九晚五	哪个公司 哭了
1124		
1125	氛围不错，主要是不！加！班！	哪里哪里,同问哪家公司，是真慕了
1126	加班严重	
1127	9点到7点，加班强度一般，周六看情况	哪里哪里 慕了（小工作室）
1128		告知下在哪，楼上有个4年6w的
1129	加班不严重，主要不少项目解约只能结算，项目还好，今年回款不好，没有分红只有保底。收入都是到手，不是税前	哪家啊、还缺人吗？
1130	加班还好，今年没回款，老板好像不太想给钱了，做一天和尚敲一天钟	"有点想去，哪个院呀？
加班不多的话这个薪水挺满意的"
1131	知名血汗集团，全年周末不超过10个，考虑跑路了，怕每年猝死一个的名额到我头上	泛城？
1132		
1133	私人中型设计院，加班严重，项目少，回款困难	
1134	今年行情不好，比原来闲一些，有时候也是加班到夜里10点，明显没去年多。年底突然忙成狗	不怎么加班，可以的，哪家？回答：杭州某个中游设计院，还是看所，每个所情况不一样。
1135	基本不加班，每天早九晚六  双休  项目也不多  感觉是养老	好单位
1136	今年10.6.5。不怎么加班，院里没什么活。	不怎么加班，可以的，哪家？
1137	加班严重	
1138	工作日60%以上加班，周末20%加班，公休10%加班	
1139	不加班，朝九晚五（不要私自改我的年薪！每月到手五千多点，税前六千多点，公积金一边800，共1600，800/12%大概能算出来）公司已提要降薪，降多少还没说。之前我算了个月，现在改成年薪了	公积金1600，工资一年4W，是不是少了个0
1140	某央企地产，轮岗了四个月销售，销售奖金到手有2.5w，没销售奖金啥也不是	哪里，很高了
1141	基本不加班，项目少，比较轻松	哪里哪里,同问哪家公司，是真慕了
1142	加班严重，996	
1143		
1144		
1145	加班特别严重，天天23点起步	刚毕业，感觉不少了
1146	国企设计院劳务派遣工，朝九晚五出图要加班	华东院？
1147		啥公司啊，球带
1148	国企设计院，996	
1149	做方案，很累，996算好的，老板提前打好了预防针，年终奖没什么期待	
1150	挂靠国企设计院的私企，反正不可能朝九晚五	你这个算是比较可以的了
1151	垃圾台州	
1152	一整年都挺忙，特别是节假日基本都加班，今年年终奖和去年差不多	
1153	没啥活，今年出了两个项目	
1154	垃圾项目一堆，甲方不给钱，还天天加班，周末也时刻待命，无望	
1155	今年估计奖金0.5折了！	什么单位啊
1156	没项目965,有项目996-9107	
1157	私企 一注	你这小数点打错了吧
1158	设计院，看项目加班	我靠，你这是哪个公司？还要人吗
1159	某上市公司，没有一点福利	12W也不错了啊
1160	不怎么加班，不出差，请假不扣钱，即将被裁员	
1161	加班看情况，标多了就使劲加到半夜，有大概七八个月每天都加班，剩下的月看着加个半小时四五十分钟，还有些时候能按时下班。基本双休，偶尔要加一天，可调休。领导和同事都挺好。	
1162	优化公司，朝九晚五，基本不加班不出差。今年效益一般，明年感觉更难	
1163	总包单位做技术，搞bim的	
1164	主要画施工图，到节点会加班，周末基本不去单位加班，管理比较混乱，摸鱼同事比较多，工作很难开展，加班算还好的，但是心累	
1165	公司目前转型做新能源和电力设计，比以前收入提升明显，但需要一人负责建筑，结构，排水，暖通，事情较多	
1166	天天摸鱼，舒服的一批。	
1167	加上一年做的私活，估摸着20+吧，年前接了个私活，好痛苦 我想摸鱼啊啊啊啊	
1168	996强化版，几乎天天加班到十点以后，强度很大，基本都是地产的项目，很多都是很前期很虚的项目，做完前期方案也不一定签合同，最后忙死忙活一年也没几个正儿八经落地的项目，无用功做的比较多，甲方一般要求所有的可能性都试试，就是穷举法做项目。	
1169	emmm 有群么  一起聊聊	
1170	忙	
1171	明年上市后有原始股	说说你的故事
1172	毕业一年决定的转行，最后看结果算是成功转行了，但过程还是比较艰难和坎坷的 有想转行的友友们的话可以沟通一下哈	请问怎么转的呢，目前程序员还可以吗
1173	陪着老板创业，景观专业负责人，方案到施工图，忙的时候要自己建模和排版。也有空的时候。基本能做到有百分之80双休。奖金需要自己交发票。要想日子过得去，还得自己接两单活。	
1174	景观转室内，轻松的一逼，基本都在摸鱼，福利非常好	人比人气死人
1175		
1176	学的建筑，刚毕业做的建筑，后来转到建筑装饰，可以摸鱼，加班有但好很多，当然钱也少了……	
1177	地产，朝九晚五，加班少	请问哪个地产呀！
1178	朝九晚五，偶尔加班，单双休	贷款上班中，公司里全是关系户
1179	朝九晚五工作不忙划水摸鱼，很烦　，很久没涨工资了	
1180	天天加班周周加班	
1181	22年加班不多。可笑的是21年欠我几万还没发。	
1182	加班倒是不多，主要是老板是个纠结偏执狂+PUA+好为人师且老板自己意识不到，一拍脑门是一个想法，经常弄得同事摸不到头脑，导致最后同事们都摆烂，打击设计的积极性，心很累；而且管理上相当相当混乱！！！                                                                                            注：杭州某夫妻店。	
1183	入职前HR说是15W全包一年。基本不加班，朝九晚五点半。没什么前景，想跑不知道往哪里跑。	
1184		啥？不备注一下吗？
1185	加班还是多的，但是不会丧心病狂那种。同事有卷有躺。	
1186	加班还好，今年就给了2W多年终，说是晚几个月发剩下的，出差较少，其他人在外出差补贴一年好几万	哪家央企呀
1187	↓下面一行谁写错行了，我们基本不加班，965，小事务所，没啥前途。	
1188	加班和出差较多，吹自己是央企，其实只是四五级的公司罢了，靠管理费赚钱，画图的苦的一逼	是什么公司啊 （华东院吗？）
1189	有活加班，没活朝九晚五	
1190	看情况吧，偶尔加班	哪里啊税前就这么多TAT——回复：不多吧上一家单位很忙，比这稍微还多一点点
1191		
1192	司部分公积金也是要自己补贴，宁波小县城设计院，自己没资质天天挂靠别人，基本不见，单双休，适合养老，干十年的同事和我干两年一个工资，钱少也没有勾心斗角，但单位本质是做水利的，人家一年60，我做建筑一年10，因为在老家，不啃老我肯定留不下来	
1193		
1194		
1195		宁波这个收入感觉还不错！
1196	赚着卖白菜的钱，操着卖白粉的心啊……公司领导什么还行，但是今年确实是没项目了	
1197	工业院，哪个地方就不填了，加班稍多	乱插格子 ，备注都上去了
1198	转行后再也没加过班了	哥们是明智的
1199		
1200	还行吧，在的部门垃圾，想调岗	
1201		
1202	加班严重，卷吐了，还要天天被硬塞大饼，不吃都不行	
1203	有活加班，没活朝九晚五。双休。公积金自己贴。 	
1204	早九晚五周末双休	
1205	私企，没项目，今年困难，老板热爱设计，这个行业里比较难的的养老单位，架不住收入下降的厉害，不行只能卖身血汗工厂了	衢州哪家单位呀
1206	公司还是不错，包两餐，有加班费。就是加班严重。	
1207	工作压力还行 单休  比较稳定  	
1208	压力适中，较稳定	
1209	单休，管理混乱	
1210	早9晚5双休，同事是部门负责人的压力比较大	兄弟哪家单位啊
1211	今年不错	这个工资只可能是省院或浙大院给得出
1212	还可以	哪家呀？
1213	忙的时候忙死，空的时候摸鱼害。混口饭吃	哪家？
1214	西斗门路美院风景院（已经转行跑路）	西斗门我呆过，确实坑
1215	不忙也得假装忙，让领导看到在加班，每周最少3天10点下班，周末一天。去年年终20，今年可能会扣发，因为明年行情走下坡路了	30+14么（年薪30+含年终）；同问球带啊
1216		
1217	去年年终奖还欠着6万，今年的年终奖还不知道，估计是没了，白干一年，月发是真的少，就靠年终奖，这两年还欠年终，真难	
1218		
1219	都是些小道路，没活天天摸鱼	
1220	毕业七年 施工 设计 管理都干了一遍 建造师 造价师 结构师 岩土考了一遍 眼看着行情每况日下 今年尤其的难 估计饼吃不到了 加班不多 偶尔情况 小负责人 带了小团队	
1221	浙江	浙江
1222	基本不加班朝九晚五很轻松	
1223	基本不加班，朝九晚六，今年没啥活，空的时间比较多	
1224		为啥没年终啊，岂不是全年就5万块
1225	垃圾	
1226	无尽的单休和加班	好恨单休
1227	偶尔加班，最近没有加班，基本双向，最近活少，害怕公司倒闭，不然我能白嫖到老板破产。	想去苏南，不知道几个上市公司市政专业待遇如何，有知道的分享分享
1228	某国企大大大院的分院（其实就是一个事业部）全年项目被白嫖	两张兄弟的私人黑作坊，上面盆满钵满，下面只剩底裤
1229	死	
1230		你们这个已经很好了，还是苏州，性价比不低呀，为啥还造反
1231		
1232		
1233	不知道一个月3K是怎么有脸发出来的	
1234	谁这么无聊 改别人数据？	哥们 你年薪是少打了一个W嘛？
1235		
1236	忙的一批	搞个大小周，真的服了！
1237	有助工证，忙一阵闲一阵，忙的时候加班到半夜，不加班朝目前没有打卡，大家都比较晚，九点半左右到，晚五点半到六点多走	哪家，我已经在来的路上呢，自行车轮子都快蹬飞了。
1238		
1239	朝九晚五，有项目需加班，想转行但是无目标	
1240	春节后离职，拜拜了您	中建旗下的国企
1241	准备滚蛋了	
1242		
1243	高工，注册建筑；方案施工图全过程项目管理及设计审查	各位有好的机会可以推荐给我！最好月发高一些的
1244	苏州某上市公司，没有年终说法，谈年薪	
1245	地产大怨种，公司背锅侠，准备跑路了	公积金很高啊
1246	苏州某上市公司，没有年终说法，年底谈今年年薪（考虑转行中）	P.S.加班超级多
1247	"苏州大市下一个三线小城市，夫妻店，一赶完图马上查考勤，前台一副小姨子做派

年薪13万（税前）10 0 6，一年通宵10天以下"	
1248	老板PUA能力很强，公司女人多男的少，感觉老板重女轻男，而且基本上没有不加班的，公司基本上都是地产项目，也不知道还能维持多长时间，先凑活吧，自己学学别的东西，快了，公司的支柱要走了，被老板压榨的不行，虽说没有通过宵，但是每天9点以后下班是常态，周末加班也是常态，基本没有福利，呵呵呵	
1249	没有年终奖之说，平时只发一半薪资，压一半薪资年末发就是所谓的年终奖了，其实都是一开始就谈好的薪资。没日没夜不眠不休地工作，有补充医疗保险，就什么福利了。	
1250	偶尔加班，很少	什么神仙单位啊？
1251	平均一月加班2次，疫情期间死里加班，曾经连续工作48小时。江苏体制内3年不调公积金，老人超高，新人超低	
1252	卷，无效加班多，白忙活	
1253	进来半年被优化了，不知何去何从	
1254	煞笔领导	苏州哪个公司
1255	忙就自觉加班，不忙随便玩，相对自由	
1256	税前10包含五险一金，自己交的公司交的都算上，以及公司所有福利（其实也没什么福利了），躺平状态	
1257	卷死  性价比低	
1258	卷，加班多	哥们别太委屈自己
1259	小单位闲是很闲，没有钱，混吃等死	
1260		
1261	楼下的别骗人	
1262	远瀚真不错，赶紧来	你倒是说一下远翰多少一年呢
1263	CZ本地头部设计院，加班加哭了,每加班是基本，没加班工资，这个工资没法结婚买房。听说隔壁大院有人发了80块钱年终，笑一下蒜了。	常州房价怎么样  1.5均价
1264	急项目忙一下，平时很闲	
1265	项负，出差对接多，副所长级别吧算是，每天也是很迷茫，升不上去，降了薪，去年全年在40+，也可能是行情好吧，今年行情太差了，	项负这个还可以啦
1266	医疗净化装饰，主要画cad，算清单，写技术参数，三月入职五月转正六月的绩效2000多，按情况年底绩效应该有一个，但是下半年行情不好，会减少。明年更差。	大概知道是哪个公司，之前我还有想去的念头
1267	杂七杂八，啥都要干。不过工作时间比较弹性，工作内容比较轻松。但是和领导的沟通很费劲。	说实话有个好领导比啥都强
1268	比较闲，收入也少。	
1269	加班不多，项目急忙一下，只要不重做，画快点就好，为啥要重改方案？？？难道不是方案和项目经理的锅吗？？干这行还是要能和甲方施工能言善辩	
1270	苦，领导沟通麻烦，逼事特多，项目差，钱要押到年30前两天再发	hy?
1271	进公司三年多的平均工资算下来每月到手1.1w。BIM没什么前景，紧紧巴巴能活，再来一次，不会选择这个行业。	这个薪资很不错了，算是行业龙头
1272	小工作室，领导还行，就是要求挺高，今年项目不多，老板早早打了预防针，估计年终奖零头会少掉吧	
1273	前面的到手14.6包括了去年的第二笔今年年中发的，不过预估今年的第二笔应该差不多。前两年加班挺多的，今年还好不咋忙。	
1274	部门僵化，无上升空间	
1275	忙的时候加班通宵，不忙的时候闲着一天干坐着。	
1276	我有以下六点要说......傻叉公司，目前的想法就是想死但觉得该死的另有其人。	啥公司  两年经验才4W
1277	没项目，无加班，一样干活，小专业、非关系户就没奖金被克扣哎~明年薪水估计腰斩	
1278	无上升空间，每年百分之10到20涨薪	
1279	国企设计院，工作稳定加班很少，项目数量多但质量差，大环境不好胜在这里性价比高了。	咱公司叫啥来着
1280	没项目 基本无加班	有点羡慕感觉
1281	阶段性加班，两个方案所领导管理风格完全不一样，一个疯狂加班，另一个就还好，项目质量越来越不行，公司内耗很严重，最近开始疯狂抓考勤	
1282	刚毕业半年 拿这个钱已经很满意了 毕竟我也没干啥	
1283	小工作室，领导还行，就是要求挺高，今年项目不多，老板早早打了预防针，估计年终奖零头会少掉吧	
1284	这公积金真的假的	"难不成是4个字的公司
(热心网友问：同行之间就别讲暗语了吧，直白点，啥公司啊)"
1285	领导说啥我做啥就是咯，反正也就上班8小时，吊班肯定不加	哪家？！
1286	从头干到尾	
1287	加班多，项目也多，领导层人太多，要分钱的人太多，干活的人少	"感觉也是4个字公司
(热心网友问：同行之间就别讲暗语了吧，直白点，啥公司啊)"
1288	项目少，虚度光阴，内耗严重	
1289	双休，加班少	这么舒服的吗？什么公司
1290	双休，几乎不加班，今年没项目，前两年还行	不加班没项目，年终还这么多
1291	全表最惨？真的，骗人是狗，不是月薪	这假的吧(是不是打错啦?月薪吧)
1292	从室内半转行到媒体，时间自由度高，要求高，加上老板尚可，和喜欢的东西打交道，除了工资低之外没有其他工作上的缺点）。前路发展有限.	
1293	今年基本没有什么新项目，都是老项目改了又改，等着跑路	
1294		厉害了,你准备跑路么?
1295	底薪无下限，奖金没有。随时待命，服务巨多。（回复右边：坑大了，一年挂个证随便干点啥也比现在多，还轻松）	注规现在一年挂证都七八万了，老哥你这收入是不是被坑了
1296		
1297	项负，产值疯狂打折乘系数，最后还倒欠3.5W	牛逼 你这是南通规划院建筑二所汤建明所里的吧？哈哈快润
1298	一个季度加四五天班吧，至多到八点半。不忙，没啥压力。晚上回家干自己的副业，挺好的。	
1299	每个月基本工资4200左右，今年整体项目少了，但还是天天加班画图，也是啥都做，今年考了研，看能不能考上读个研究生再做后面打算	
1300	市政单位  小单位啥都做 从前期方案做到后期施工图	
1301	等不起跑了，听说去年产值20%被老板扣下来了，鬼知道老板发不发	
1302	收益看年景，个人对项目比较有追求，喜欢少而专，所以大小年波动特别厉害。业绩好到账好一年总体八九十万，不好的时候二十万这样，总体还行	这是什么神仙单位啊
1303	做景观方案+施工图，建筑效果图文本。时而闲死，时而忙死，平均下来今年最闲，加班不多，没项目了。非d员，经常有写动态新闻必须采纳多少条的指标，但是不算钱。	
1304	上半年干活节奏稍微轻松点，下半年高强度加班无周末，工资每月分两笔发，依托答辩	
1305	领导精通画大饼技能，PUA技能点满，进了公司还要扣工资缴学费，完美继承国企的官僚体制，几十人的破单位分八九个阶级，一个打工人养活一个股东，一群吃了打工人都不吐骨头的资本家，还要天天强调自己是D元，擅长坑蒙拐骗，克扣新人待遇，喜欢吹嘘自己，个人魅力主要靠大嗓门吹牛批。大领导一言堂下面还有出坏主意的小领导，制度能一个月变一次，入职前谈好的待遇随随便便就能改了不承认，还大言不惭的说没说过。	牛逼！不会是那个设计院吧！
1306	老板跑出来自立门户 跟 原有大单位有业务联系 规模很小 几个部门都有 谈的时候说实习一个月5K 后面待遇按底薪加预发奖金 实际非常坑 转正之后基本一个月到手2K多  年终发了点打发叫花子 	 接备注 刚过去的上半年还有点活做做 下半年一个项目没有 就润了  内部交接存在问题 死线前几天了 建筑开始审图然后说要改图 还是多个版本的改  跟着改 非常多无用功 
1307	上市建筑类私企下的设计院。几个人，双休国假，比较闲，一年设计费产值500万左右。就是务虚事情太多了，整天写计划，报告，还要被催着跑业务，反正是被折腾。	
1308		
1309	没项目时朝九晚五，有项目时加班。加班还好，外聘，基本不开会、不做PPT、不汇报、不去现场。但是出施工图的时候被PUA画不完图周六周日不准请假。	
1310	室内设计小助理 996 有时通宵工作24h+	
1311	月工资还都是预发，太难了	看下来无锡的朋友好惨啊。。
1312	早上7.30上班，每日工作时间8-9小时，单休。很累。再干十来年去当保安？	同幕墙~加班多没多少钱
1313	工业建筑，加班还挺多每天1-3h。别给我乱改谢谢。	你这公积金真让人羡慕  回复：南京公积金还是交的很足够的百分之24
1314	没人管，全凭责任心做事，但感觉明年要被干掉了	哪家这么高啊    回复：小甲方
1315	天天pua，被吐槽小学没毕业，整天还一堆事情分下来	可不就没有小学毕业证嘛
1316	工业院，常年加班	哪家单位啊，这个可以啊
1317	"
"	有点惨
1318	除了单位的人勾心斗角很官僚，小透明工作量被吞之外还行，有独立食堂包中晚饭，虽然很难吃。最近听说要降薪，无所吊谓，想换行。领导想让你干活，上面的人不想分活（工作量）给你干。	
1319	EPC总包机电设计，目前收行情影响稍微小一些	
1320	肯定是徐州 的高工了	换不错哦
1321	无正经项目，几乎全年摸鱼，预感明年降薪	想知道哪家公司.同问
1322		我去，不至于吧，怎么养活自己？
1323	干了两年施工转的结构设计，钱少事多，单价奇低无比，全是二道贩子的活	24年合伙，把滑稽做大做强
1324	外包狗，在办公室完全不当人，年轻就被烂几把甩活干，干的比人多拿的比人少，领导最后告诉你外面行情就是这样，哎嘿~气不气	
1325		年终奖nb；是去十万大山测绘吗年终奖这么高
1326	比较闲，还算自由	
1327	可否介绍个工作	
1328	一年不如一年，垃圾单位，就快倒闭了	
1329		
1330	估计快没工作了，待裁员中	
1331	加班多，心累，蹲个大哥带带我	
1332		
1333	公司包吃住，一般情况下单休，晚上偶尔加班到八九点，感觉比之前实习公司熬夜通宵画图好多了	
1334	这行业没希望了	
1335		
1336		
1337	待业中，在家钓鱼	
1338	据说要降薪	哪一家公司？
1339	反正饼都不画了	领导劝我们跑路，我想看看哪里能跑得掉
1340	反正饼都不画了	领导劝我们跑路，我想看看哪里能跑得掉
1341	在写微信推文，领导鼓励我对标奥雅技压谷德（难蚌）	
1342	垃圾国企，就知道pua画大饼，天天说效益好，年底一看就差吃shi了，去年天天加班，今年开始躺平，到点就走。	
1343	地方国企设计院，比去年忙，然而年终狠狠打折笑死	方便透露哪个地区吗  ——武汉
1344		"大哥竟然已经工作12年

是后悔学了设计还是后悔没有卖馍"
1345		月发税前多少？
1346	"垃圾单位，垃圾设计院，还尼玛国企呢，披着国企外衣的血汗工厂，挂羊头卖狗肉，看着挺大，金絮其外败絮其中，领导管理特别混乱，还净接一些又麻烦又不赚钱的垃圾项目，无偿义务自费倒贴加班是常事，算时薪每小时9块钱自费加班餐自费打车回家你服不服？整体业务水平专业能力极差，从领导到员工无一不是把精力全用到扯皮，甩锅以及权谋上，真的是操蛋的事情很专业，专业的事情很操蛋。你说你是国企，结果无限加班，工作强度和领导PUA比起私企有过之而无不及，福利差的一笔，我没有感受到任何的工作稳定性；你说你是私企，结果分奖金算钱的时候你给我来个吃大锅饭而不是像真正的私企一样多劳多得。完美的继承了公有制和私有制各自的缺点，完美的规避了公有制和私有制各自的优点。领导巧妙地把经营风险转嫁到员工头上，赚钱了领导有方，领导拿大头，亏钱了员工没钱。一个月这点钱，别说养家，我连自己都养不活，进了设计院我真是觉得我那么多年书都白读了，黄金年龄连自己都养不活还要靠家里接济。老武汉都知道，三阳路人称鳏寡一条街，就是因为这里设计院多。总体而言在这设计院干，要么身体状况崩盘，各种高血压心脏病颈椎腰椎鬼剃头最后直接住ICU，要么直接精神异常然后崩溃进六角亭。垃圾狗院，新人擦亮眼睛，千万别被狗院割韭菜，三无单位（没钱没休没尊严）你来不来？恶心的狗院人，专接恶心又不赚钱的项目，什么都干，就是不干好事，什么都要，就是不要脸！
"	"放个耳朵

同国企，有1/4的项目为某某地方领导白嫖，业绩压力由职员自担，就是嫖到你个人头上。明确了是哪个领导亲戚的项目也没有设计费，硬着头皮也要做。

我猜是武汉生态环境发展集团下面的子公司"
1347	觉得这辈子白活了，加班是常态	我猜是四维路那个
1348	哎，摆烂吧，想着搞两年混个经验回老家接着摆烂	中南市政？
1349	垃圾公司，全年无休息。每天七点半工作到晚上十点  中午一个小时多休息	中信?                这不是还每个季度1.4w的奖金么，那其实一年下来不错了，而且你还是工作才一年，武汉这地方，工资是真的低
1350		
1351	第一年和第二年比较忙，今年比较闲，看个人意愿，这相对较好的行业，如果想发展，还是有作为的，希望更多的人进来，正所谓不破不立，只有烂的彻底才能重获新生。	已经烂的彻底了
1352	加班和出差较多	湖北给排水专业交流群：796618684
1353	不忙的时候最早7、8点下班。忙的时候最早10点下班，最晚通宵第二天早上6点，连续3~4个月。第二天依旧9点上班。全年百分之60以上都是忙的。	
1354	工业设计为主，正常双休	那个单位啊，求带
1355	有时候忙，加班不算多	
1356	有时候忙，加班不算多，项目不稳定，收入也看项目情况	我看你像TH的。
1357	有时候忙，大多可以准时下班，钱不多，但是也饿不死	硕士这个钱饿不死？
1358	没事的时候基本上955   加班是间歇性的	公积金好高
1359	央企地产，收入年年递减，明年估计失业	上游还这么少啊  兄弟。看不到希望。华润？
1360	国企设计院合同工	
1361	上市设计院	景森？
1362	第二年收入还没第一年高，下半年的连着两个项目都被本部门领导恶心，躺了，目前955，PUA免疫，准备过完春节脱坑	"哪个公司啊，比我这蛇皮国企好
你看你这话说的 这行那有不蛇皮的"
1363	第一年，奖金没发完，目测总收入税前超12万	
1364	三阳路央企  晚上灯最亮的那栋 大部分部门降薪  快跑	同乐同乐
1365		
1366	非建筑院，还有点出差交通通信补助	
1367	还有餐饮交通补贴没算大概2-3w，基本能准点下班，感觉还行，知足常乐。公司内部收入两极分化严重，月发底收入全靠年终，年终主要看项目运气和老大分钱手法。	插眼，礼貌问公司-中南
1368	求介绍工作。注岩+试验检测师（道路、桥隧、水运结构地基），多年检测经验，少量勘察经验，3年物探经验。有好单位麻烦大佬们推荐啊。	哇。老哥工作这么久，工资没有我想象的那么多啊，而且还考了证，麻了啊，武汉（回复：考了证没加工资）
1369	公积金太低了，受不了	这不是天华么，跳槽去天华的可以收集一波证据走了，所谓18月年薪都是纯画饼，建议截图打官司
1370	加班 ，基本天天都加班，周末也加班。	目测中南？
1371	出差100多天，年底领导承诺涨工资，结果部门考核不合格，总奖金打折，伤及无辜。。。。	哪个公司啊？
1372		实习期80%工资，年终奖并没有承诺的那么多，只发3k真有点寒酸
1373		
1374	月薪8千，七扣八扣，到手2800，年终奖说打折就打折	公积金这么高？？ 所以每个月到手2800，到手是负数才对
1375		
1376	月薪12000，七扣八扣，到手8000左右，年终奖大概十五左右	25+15，40了啊，牛
1377	强度很大，薪资一年少一年	
1378	强度基本是975，周末几乎不加班	哪个呀 透露下，真好
1379	事情没少搞，很多项目搞着搞着就没影了，又不给算绩效。加班也有，通宵比较少。没啥搞头，心累身累，又没钱，工作也没啥价值。	四维路最亮的崽
1380	面试谈总年薪20W,月发80%，剩下的20%就是年终奖，第二年的10月才发，你要辞职了，就没了……	
1381	工作不止方案，还有很多杂七杂八的事情要帮忙，节能建模，绿建，检测等，但是整体强度不大，基本准点下班，周末双休	
1382	美其名曰国企，其实就是吸血鬼，年初指定上交国家的指标，年终收费不论多少，要按指标上交国家。如果还有多的，就当奖金下发，如果没有，就呵呵，白干一年。月薪不如一个送外卖的，时薪不如一个开出租的。项目来了加班睡的比狗晚，分钱时不管你是底层画图的还是部门专业负责人，一点参与权没得。饼画的是又大又圆，是做的是又多又累，钱就不谈了，谈钱就说不下去了，领导还说他们也没得奖金，因为平时把大家的工资发超了，导致把领导的奖金也被员工工资分走了。	坐标首义路
1383	水平低，性价比低。年轻人干活，所有人一起分钱。low	武昌起义。食之无味。求推荐更好的工作。
1384	去年10月以前很忙，只有月发+500/月交通补贴；2022年周末加班少，平时8点左右，偶尔连续一周到九、十点。取消了交通补贴，一半的月发打折，整体还没去年多。	
1385	老板画的饼又大又圆，天天嚷嚷着好好画图就有钱了，一年下来光月薪少发上万	
1386	某私人事务所，唯一的问题就是不给上社保	年终奖 300w我不要社保
1387	吃屎吧，垃圾公司垃圾领导	睡后多少w？
1388		
1389	拖欠两三个月工资，目前凑合干呗，市场上也没别的岗位能去	
1390	公司整体技术水平差，打压别人已经落地建好的新技术，觉得自己保守的才是最好的	
1391	垃圾部门，垃圾所室，垃圾专业，不靠谱领导，吊车尾收入	中建西北吗？不是
1392	还是第一版好，你懂我的意思吧	求透露第一版是什么样子，来得晚没看到呃
1393	分公司坑爹制度，倒闭吧	
1394		
1395	上海的分公司，各种坑爹的制度，估计再有一年就凉了	
1396	垃圾西北院，大家避雷吧	
1397	民用建筑设计院、国企	中建西北？
1398	央企大院，就是大家吐槽的，表面风光西北院	情况属实
1399	铁设，工资按时发，一个月发两次，钱根本花不完	牛逼牛逼，真牛逼
1400	创业头一年，赚的钱换卡宴了	
1401	"
"	a
1402	太难了	
1403		
1404	大哥，哪个单位	
1405		
1406		
1407	还行	兄弟哪家单位
1408	全年九个月无休息，加班1000小时+，人多项目多，薄利多销	
1409	每月加班60小时左右	加班这么恐怖吗
1410	有项目就要出差去工地画图几个月，无限漂泊，debff拉满，在机关就是纯摸鱼没事干	哪个单位，好像有点可以
1411		
1412	光干活  钱去哪里呢   真实	th
1413	项目不多，但是不太加班	
1414	做方案，很累	建大院？
1415	施工图，加驻场，全年出差50天以上	哪家单位
1416	施工单位设计管理	
1417	加班	妥了，西北院
1418		
1419		
1420		
1421	不会做设计也不爱画施工图，转到造价结果好像也不咋轻松，思考转行新方向啊	
1422	陕西	陕西
1423	谈的税前15，年底按量结算，陕西方圆，千万避坑	哈哈哈，前段时间被骂的方圆，李剑还生气了
1424		
1425	国企	凑合吧，混日子
1426	开始在鱼化寨那边一个设计院，工作强度大，后来换到航天那边一家做市政的星航设计院，强度小了一些，但是得支援防疫，月发4000，说的季度奖不按时发放，就是一个挂靠西安市政被航天市政嫌弃的野儿子我属于已经从本专业跑路的……之前在广州设计院实习，给我吓转行了……在广州每天通勤时间4小时起！！太他妈吓人了。目前的工作朝九晚五，加班是自己没法按时完成，午休11：30-15：00。不用打卡不用请假……纯属混日子 in	绿地鸿海？
1427	小单位	啥单位
1428	时间很自由，不打卡，也是按量结算，单价贼低，三毛	
1429	职场PUA严重	敢问哪家央企啊
1430	大锅饭，求私活	这待遇可以啊
1431	公司困难，3个月没发工资了	我好像不下心把左边给编辑了，我凭记忆恢复了，应该是对的吧
1432	成都某院分公司，上半年强度始终，周末双休，下半年清闲朝九晚六，周末双休，打野挣了七八万，都收回来了。	
